Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 6272880k(2144552k free), swap 12543884k(7082232k free)
CommandLine flags: -XX:GCLogFileSize=1048576 -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelOldGC 
2018-03-10T15:20:38.045+0300: 1.659: [GC (Allocation Failure) [PSYoungGen: 65536K->10744K(76288K)] 65536K->24681K(251392K), 0.0841861 secs] [Times: user=0.06 sys=0.00, real=0.09 secs] 
2018-03-10T15:21:04.212+0300: 27.826: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175095K->175094K(175104K)] 204791K->204790K(233472K), [Metaspace: 9150K->9150K(1058816K)], 0.0239349 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.236+0300: 27.850: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175098K->175095K(175104K)] 204794K->204791K(233472K), [Metaspace: 9152K->9152K(1058816K)], 0.0258198 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:04.262+0300: 27.876: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175098K->175097K(175104K)] 204794K->204793K(233472K), [Metaspace: 9153K->9153K(1058816K)], 0.0232491 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.286+0300: 27.900: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175097K->175097K(175104K)] 204793K->204793K(233472K), [Metaspace: 9153K->9153K(1058816K)], 0.0219872 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.308+0300: 27.922: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175102K->175098K(175104K)] 204798K->204794K(233472K), [Metaspace: 9158K->9158K(1058816K)], 0.0229059 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.331+0300: 27.945: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175098K->175098K(175104K)] 204794K->204794K(233472K), [Metaspace: 9158K->9158K(1058816K)], 0.0230072 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.355+0300: 27.969: [Full GC (Ergonomics) [PSYoungGen: 29696K->29693K(58368K)] [ParOldGen: 175101K->175095K(175104K)] 204797K->204788K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0661587 secs] [Times: user=0.16 sys=0.00, real=0.07 secs] 
2018-03-10T15:21:04.421+0300: 28.035: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175095K->175094K(175104K)] 204791K->204790K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0634559 secs] [Times: user=0.16 sys=0.00, real=0.06 secs] 
2018-03-10T15:21:04.485+0300: 28.099: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175094K->175094K(175104K)] 204790K->204790K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0256065 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:04.511+0300: 28.125: [Full GC (Ergonomics) [PSYoungGen: 29696K->29694K(58368K)] [ParOldGen: 175094K->175094K(175104K)] 204790K->204789K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0225458 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.575+0300: 28.189: [Full GC (Ergonomics) [PSYoungGen: 29696K->29694K(58368K)] [ParOldGen: 175094K->175092K(175104K)] 204790K->204786K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0651730 secs] [Times: user=0.20 sys=0.00, real=0.07 secs] 
2018-03-10T15:21:04.640+0300: 28.254: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175092K->175092K(175104K)] 204788K->204788K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0294980 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:04.670+0300: 28.284: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175092K->175092K(175104K)] 204788K->204788K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0238997 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.694+0300: 28.308: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175092K->175092K(175104K)] 204788K->204788K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0220653 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.716+0300: 28.331: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175092K->175092K(175104K)] 204788K->204788K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0236221 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.740+0300: 28.354: [Full GC (Ergonomics) [PSYoungGen: 29695K->29695K(58368K)] [ParOldGen: 175092K->175092K(175104K)] 204788K->204788K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0239532 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.765+0300: 28.379: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175095K->175093K(175104K)] 204791K->204788K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0267194 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:04.792+0300: 28.406: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175093K->175093K(175104K)] 204789K->204788K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0241170 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2018-03-10T15:21:04.816+0300: 28.430: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175093K->175093K(175104K)] 204789K->204788K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0244548 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2018-03-10T15:21:04.841+0300: 28.455: [Full GC (Ergonomics) [PSYoungGen: 29696K->29695K(58368K)] [ParOldGen: 175093K->175093K(175104K)] 204789K->204789K(233472K), [Metaspace: 9159K->9159K(1058816K)], 0.0227341 secs] [Times: user=0.12 sys=0.00, real=0.02 secs] 
